country_code,country_name,articles,gdp_pc_ppp,haq,bmi_mean,bmi_men,bmi_women,country,cases,deaths,population,mortality,median_age,rd
AGO,Angola,18.77,7313.022684191863,38.0,22.81966589833333,21.986207743333335,23.653124053333332,Angola,28875,636.0,33733691.0,0.022025974,16.49999933333333,546564.154098
ARE,United Arab Emirates,1421.3400000000001,70345.1571552104,70.86666666666667,28.472937241666667,27.680194756666666,29.265679726666665,UAE,537524,1615.0,9992499.0,0.003004517,33.100000666666666,3256342.604055625
ARG,Argentina,6857.026666666668,22293.864479261767,66.76666666666667,27.279466653333333,27.423406986666667,27.13552632,Argentina,3165121,67821.0,45550456.0,0.021427617,30.86666633333333,5306104.058891333
ARM,Armenia,468.93333333333334,9342.463572572307,63.73333333333333,26.167589181666667,25.303484806666663,27.031693556666667,Armenia,219596,4256.0,2967990.0,0.019381045,34.166668333333334,1479401.5227229167
AUS,Australia,41993.78666666667,45087.9290509147,88.06666666666666,27.05046897,27.461847789999997,26.63909015,Australia,29938,910.0,25752709.0,0.030396152,37.400002,12045604.151404446
AUT,Austria,10975.943333333335,51458.3047438,86.16666666666667,25.531441991666668,26.441686559999997,24.62119742333333,Austria,632766,10413.0,9050395.0,0.01645632,43.16666833333333,4163767.7243376668
AZE,Azerbaijan,465.1433333333334,12129.567581161937,59.93333333333334,26.583466626666667,25.687491089999998,27.47944216333333,Azerbaijan,327087,4698.0,10217339.0,0.014363151,30.466667333333334,87756.30282208334
BDI,Burundi,9.936666666666667,823.3599324090173,38.800000000000004,21.33590912833333,21.543464513333333,21.12835374333333,Burundi,4200,6.0,12191404.0,0.001428571,17.566666666666666,1157126.758971
BEL,Belgium,14903.9,48075.816709225335,86.26666666666667,26.08165,26.590675436666668,25.572624563333335,Belgium,1017876,24583.0,11632825.0,0.024151272,41.333333333333336,3827968.759508333
BFA,Burkina Faso,142.63,1722.9038717482133,41.96666666666667,21.804665883333332,21.86799193,21.74133983666667,Burkina Faso,13382,162.0,21390267.0,0.012105814,17.100000333333334,4023840.8059375
BGR,Bulgaria,2395.5133333333333,17193.6716898678,68.66666666666667,26.167909761666667,26.720597463333334,25.615222059999997,Bulgaria,411280,17045.0,6903494.0,0.041443785,43.533334333333336,269017.7850337931
BHR,Bahrain,184.42999999999998,46734.50919400196,75.83333333333333,25.125909138333338,25.004644346666666,25.247173930000002,Bahrain,191018,691.0,1751688.0,0.00361746,31.233334333333335,14449.311056999999
BIH,Bosnia and Herzegovina,433.47333333333336,11008.353526039224,75.2,25.532880000000002,26.021562106666668,25.044197893333333,Bosnia and Herzegovina,201217,8862.0,3263287.0,0.044042004,40.80000066666667,24041.7470415
BLR,Belarus,1113.4833333333333,15845.370204429899,71.36666666666667,26.458608979999998,26.20193516333333,26.715282796666667,Belarus,369767,2642.0,9446657.0,0.00714504,39.59999966666667,287051.04655208334
BRA,Brazil,39011.583333333336,14163.128227277766,62.46666666666667,26.003801304999996,25.712139416666663,26.295463193333333,Brazil,15214030,423436.0,213852486.0,0.027831942,31.266666333333333,16760373.858053463
BRN,Brunei Darussalam,89.69,66895.77285829333,69.36666666666666,26.558573698333333,26.45464099333333,26.662506403333335,Brunei,230,3.0,441061.0,0.013043478,29.966667333333334,25321.0298175
BWA,Botswana,147.00333333333333,14441.670232116701,47.86666666666667,24.223444283333333,22.35784255333333,26.089046013333334,Botswana,49041,751.0,2392078.0,0.015313717,24.399999666666663,99678.952166
CAN,Canada,54694.81666666667,44911.422057929136,86.2,26.950670810000002,27.350181680000002,26.55115994,Canada,1294186,24682.0,38025198.0,0.019071447,40.533334333333336,11796104.1267175
CHE,Switzerland,18680.383333333335,63631.33902186347,90.03333333333335,25.21884949166667,26.51277998,23.924919003333333,Switzerland,674296,10715.0,8708783.0,0.015890647,42.299999,5331190.666729
CHL,Chile,4220.286666666667,21512.886851159565,73.96666666666667,27.62201394666667,27.377566403333333,27.866461490000002,Chile,1252808,27318.0,19256563.0,0.021805416,33.73333366666667,59604483.618781
CHN,China,295275.69,8970.352074433571,69.26666666666667,23.325365599999998,23.49360185666667,23.157129343333335,China,90783,4636.0,1439323776.0,0.05106683,36.96666733333333,284380684.298466
CIV,Cote d'Ivoire,149.74666666666667,3916.07822172162,40.233333333333334,23.53484143,23.184987706666664,23.884695153333336,Ivory Coast,46443,291.0,26933804.0,0.006265745,18.3,2517186.1125999996
COD,"Congo, Dem. Rep.",66.47333333333334,903.2981173492207,39.266666666666666,21.607730681666666,21.060081786666668,22.155379576666665,DRC,30350,772.0,91872203.0,0.025436573,16.899999666666666,14318467.848062003
COL,Colombia,3184.5,12016.801955742534,64.60000000000001,25.845011385000003,25.31377427,26.376248500000003,Colombia,3015301,78342.0,51346483.0,0.025981486,30.100000333333337,240592596.96343964
CRI,Costa Rica,280.8933333333333,16332.790410912634,70.76666666666667,26.962332126666666,26.463770123333333,27.46089413,Costa Rica,271478,3430.0,5133901.0,0.012634541,31.399999666666663,14200487.141668
CYP,Cyprus,650.08,36752.107436833736,82.36666666666666,26.879865969999997,27.546873686666668,26.212858253333334,Cyprus,69708,337.0,1214880.0,0.004834452,35.366667666666665,38023.58278637931
CZE,Czech Republic,12378.143333333333,33451.812110014835,81.93333333333334,27.040706761666666,27.732442213333332,26.34897131,Czechia,1646981,29749.0,10726011.0,0.018062746,41.433333,9959844.480679333
DEU,Germany,95891.09333333334,47450.54118508336,84.83333333333333,26.477278118333334,27.180904736666665,25.7736515,Germany,3535354,85481.0,84013487.0,0.024178908,45.59999966666667,33720109.579808705
DNK,Denmark,10960.74,51898.97517391061,83.73333333333333,25.354212828333335,26.163045396666664,24.54538026,Denmark,259988,2497.0,5809677.0,0.009604289,41.49999833333333,8048835.988374137
DZA,Algeria,2401.536666666667,11057.508701960867,61.833333333333336,25.227562863333333,24.34109721333333,26.114028513333334,Algeria,124288,3335.0,44526148.0,0.02683284,27.53333333333333,10632017.085675
ECU,Ecuador,331.1333333333334,10580.34468333621,58.63333333333333,26.652173721666667,26.037373579999997,27.266973863333334,Ecuador,402060,19242.0,17871702.0,0.047858529,26.63333366666667,177556.84940150002
EGY,"Egypt, Arab Rep.",6683.893333333333,9769.184345539814,58.699999999999996,29.03244051833333,27.370715003333334,30.69416603333333,Egypt,238560,13972.0,103979506.0,0.058568075,24.633333333333336,3262945.0087356665
ESP,Spain,46671.02333333334,37673.21957302387,86.96666666666665,26.257212104999997,27.131248319999997,25.38317589,Spain,3581392,78895.0,46770308.0,0.022029144,43.09999966666667,5185870.583350518
EST,Estonia,1230.2866666666666,27874.58091791047,76.76666666666667,26.276497318333337,26.677273596666666,25.875721040000002,Estonia,125696,1206.0,1327300.0,0.009594577,41.5,131656.15076637932
ETH,Ethiopia,570.3266666666667,1300.1539685225296,39.833333333333336,20.354465985,20.00884307,20.7000889,Ethiopia,263120,3897.0,117385440.0,0.014810733,18.633333,635155.7812535
FIN,Finland,10042.896666666667,45281.26079612984,87.10000000000001,26.105113749999997,26.553153016666666,25.657074483333332,Finland,88866,922.0,5548099.0,0.010375172,42.433333,1933391.747193793
FRA,France,66639.15000000001,42514.51438371157,85.93333333333334,25.191376854999998,25.92578687,24.456966839999996,France,5780379,106684.0,65397303.0,0.018456229,41.066667,16603535.635620518
GBR,United Kingdom,92782.54333333333,43250.34657256367,82.63333333333333,27.09234942,27.268924406666667,26.915774433333336,UK,4437217,127609.0,68191369.0,0.028758792,40.19999933333333,12553573.608527321
GEO,Georgia,416.93666666666667,9885.69021468043,61.199999999999996,27.03215281333333,26.909395906666663,27.154909719999996,Georgia,324256,4336.0,3982596.0,0.01337215,37.76666633333333,27701.037158833336
GMB,"Gambia, The",41.29666666666667,2207.1914518295434,47.666666666666664,23.432907821666664,22.817969723333334,24.04784592,Gambia,5929,175.0,2474337.0,0.029515939,17.099999666666665,6270.710725999999
GRC,Greece,10819.47,32646.164820641203,85.53333333333335,27.199353863333332,27.443740476666665,26.95496725,Greece,363904,11089.0,10379331.0,0.030472322,43.19999933333333,777965.0486464815
GTM,Guatemala,60.09666666666667,7404.622136453727,53.4,26.085282090000003,25.33603777,26.83452641,Guatemala,235304,7736.0,18198073.0,0.032876619,21.3,21638.41051733333
HND,Honduras,22.833333333333332,4898.87364614572,51.73333333333333,26.191393055000002,25.495917703333333,26.886868406666668,Honduras,220988,5701.0,10039017.0,0.025797781,23.0,16682.228913
HRV,Croatia,3604.72,24204.278595788233,79.10000000000001,26.897627781666667,27.474448966666667,26.320806596666667,Croatia,345623,7549.0,4083518.0,0.021841718,42.76666633333334,462852.76510655176
HUN,Hungary,6008.1466666666665,25508.773877770498,76.46666666666665,26.963002056666667,27.685000523333333,26.241003590000002,Hungary,792879,28792.0,9639299.0,0.036313233,41.73333366666667,51137053.18578225
IDN,Indonesia,2210.2033333333334,8378.536395862046,46.6,22.631669648333332,22.01893149,23.24440780666667,Indonesia,1718575,47218.0,275996044.0,0.027475088,28.0,2902514866.3446193
IND,India,65922.01666666666,4306.957737765631,41.4,21.473083051666666,21.38684782333333,21.55931828,India,22992517,250025.0,1391605161.0,0.01087419,26.666667333333333,165402471.6251305
