country_code,year,haq_interpolated
AFG,1990,24.7
AFG,1991,24.66
AFG,1992,24.62
AFG,1993,24.58
AFG,1994,24.54
AFG,1995,24.5
AFG,1996,24.56
AFG,1997,24.62
AFG,1998,24.68
AFG,1999,24.740000000000002
AFG,2000,24.8
AFG,2001,25.26
AFG,2002,25.720000000000002
AFG,2003,26.18
AFG,2004,26.64
AFG,2005,27.1
AFG,2006,27.560000000000002
AFG,2007,28.02
AFG,2008,28.48
AFG,2009,28.939999999999998
AFG,2010,29.4
AFG,2011,30.02
AFG,2012,30.64
AFG,2013,31.259999999999998
AFG,2014,31.88
AFG,2015,32.5
AGO,1990,25.8
AGO,1991,26.26
AGO,1992,26.720000000000002
AGO,1993,27.18
AGO,1994,27.64
AGO,1995,28.1
AGO,1996,28.720000000000002
AGO,1997,29.34
AGO,1998,29.96
AGO,1999,30.58
AGO,2000,31.2
AGO,2001,32.08
AGO,2002,32.96
AGO,2003,33.84
AGO,2004,34.72
AGO,2005,35.6
AGO,2006,36.02
AGO,2007,36.440000000000005
AGO,2008,36.86
AGO,2009,37.28
AGO,2010,37.7
AGO,2011,38.300000000000004
AGO,2012,38.900000000000006
AGO,2013,39.5
AGO,2014,40.1
AGO,2015,40.7
ALB,1990,62.4
ALB,1991,62.94
ALB,1992,63.48
ALB,1993,64.02
ALB,1994,64.56
ALB,1995,65.1
ALB,1996,65.78
ALB,1997,66.46
ALB,1998,67.14
ALB,1999,67.82
ALB,2000,68.5
ALB,2001,69.12
ALB,2002,69.74
ALB,2003,70.36
ALB,2004,70.97999999999999
ALB,2005,71.6
ALB,2006,72.33999999999999
ALB,2007,73.08
ALB,2008,73.82
ALB,2009,74.56
ALB,2010,75.3
ALB,2011,75.88
ALB,2012,76.46
ALB,2013,77.04
ALB,2014,77.62
ALB,2015,78.2
AND,1990,84.7
AND,1991,85.36
AND,1992,86.02
AND,1993,86.68
AND,1994,87.34
AND,1995,88.0
AND,1996,88.62
AND,1997,89.24
AND,1998,89.86
AND,1999,90.47999999999999
AND,2000,91.1
AND,2001,91.39999999999999
AND,2002,91.69999999999999
AND,2003,92.0
AND,2004,92.3
AND,2005,92.6
AND,2006,92.88
AND,2007,93.16
AND,2008,93.44
AND,2009,93.72
AND,2010,94.0
AND,2011,94.12
AND,2012,94.24
AND,2013,94.36
AND,2014,94.47999999999999
AND,2015,94.6
ARE,1990,56.9
ARE,1991,57.68
ARE,1992,58.46
ARE,1993,59.239999999999995
ARE,1994,60.019999999999996
ARE,1995,60.8
ARE,1996,61.58
ARE,1997,62.36
ARE,1998,63.14
ARE,1999,63.92
ARE,2000,64.7
ARE,2001,65.56
ARE,2002,66.42
ARE,2003,67.28
ARE,2004,68.14
ARE,2005,69.0
ARE,2006,69.48
ARE,2007,69.96000000000001
ARE,2008,70.44
ARE,2009,70.92
ARE,2010,71.4
ARE,2011,71.56
ARE,2012,71.72
ARE,2013,71.88000000000001
ARE,2014,72.04
ARE,2015,72.2
ARG,1990,57.4
ARG,1991,57.98
ARG,1992,58.559999999999995
ARG,1993,59.14
ARG,1994,59.72
ARG,1995,60.3
ARG,1996,60.94
ARG,1997,61.58
ARG,1998,62.22
ARG,1999,62.86
ARG,2000,63.5
ARG,2001,63.86
ARG,2002,64.22
ARG,2003,64.58
ARG,2004,64.94
ARG,2005,65.3
ARG,2006,65.56
ARG,2007,65.82
ARG,2008,66.08
ARG,2009,66.33999999999999
ARG,2010,66.6
ARG,2011,66.96
ARG,2012,67.32
ARG,2013,67.68
ARG,2014,68.04
ARG,2015,68.4
ARM,1990,56.8
ARM,1991,56.559999999999995
ARM,1992,56.32
ARM,1993,56.08
ARM,1994,55.84
ARM,1995,55.6
ARM,1996,56.28
ARM,1997,56.96
ARM,1998,57.64
ARM,1999,58.32
ARM,2000,59.0
ARM,2001,59.2
ARM,2002,59.4
ARM,2003,59.6
ARM,2004,59.8
ARM,2005,60.0
ARM,2006,60.74
ARM,2007,61.480000000000004
ARM,2008,62.22
ARM,2009,62.96
ARM,2010,63.7
ARM,2011,64.46000000000001
ARM,2012,65.22
ARM,2013,65.98
ARM,2014,66.74
ARM,2015,67.5
ASM,1990,54.6
ASM,1991,54.800000000000004
ASM,1992,55.0
ASM,1993,55.2
ASM,1994,55.4
ASM,1995,55.6
ASM,1996,56.52
ASM,1997,57.440000000000005
ASM,1998,58.36
ASM,1999,59.28
ASM,2000,60.2
ASM,2001,60.5
ASM,2002,60.800000000000004
ASM,2003,61.1
ASM,2004,61.400000000000006
ASM,2005,61.7
ASM,2006,61.980000000000004
ASM,2007,62.260000000000005
ASM,2008,62.54
ASM,2009,62.82
ASM,2010,63.1
ASM,2011,63.14
ASM,2012,63.18
ASM,2013,63.22
ASM,2014,63.26
ASM,2015,63.3
ATG,1990,56.6
ATG,1991,56.84
ATG,1992,57.08
ATG,1993,57.32
ATG,1994,57.559999999999995
ATG,1995,57.8
ATG,1996,58.3
ATG,1997,58.8
ATG,1998,59.3
ATG,1999,59.8
ATG,2000,60.3
ATG,2001,60.739999999999995
ATG,2002,61.18
