Country,Code,Cases,Deaths,Population,Mortality
World,NA,159634316,3318844,7757957226,0.020790292
USA,USA,33515308,596179,332664383,0.01778826
India,IND,22992517,250025,1391605161,0.01087419
Brazil,BRA,15214030,423436,213852486,0.027831942
France,FRA,5780379,106684,65397303,0.018456229
Turkey,TUR,5044936,43311,85114793,0.008585044
Russia,RUS,4896842,113976,145988122,0.023275409
UK,GBR,4437217,127609,68191369,0.028758792
Italy,ITA,4116287,123031,60385546,0.029888829
Spain,ESP,3581392,78895,46770308,0.022029144
Germany,DEU,3535354,85481,84013487,0.024178908
Argentina,ARG,3165121,67821,45550456,0.021427617
Colombia,COL,3015301,78342,51346483,0.025981486
Poland,POL,2838180,70336,37811050,0.024782079
Iran,IRN,2673219,75261,84911245,0.028153698
Mexico,MEX,2366496,219089,130090737,0.092579493
Ukraine,UKR,2124535,46631,43508054,0.021948803
Peru,PER,1853370,64373,33364023,0.034732946
Indonesia,IDN,1718575,47218,275996044,0.027475088
Czechia,CZE,1646981,29749,10726011,0.018062746
South Africa,ZAF,1597724,54825,59947455,0.034314437
Netherlands,NLD,1565880,17340,17167367,0.011073645
Canada,CAN,1294186,24682,38025198,0.019071447
Chile,CHL,1252808,27318,19256563,0.021805416
Iraq,IRQ,1117627,15800,40990787,0.014137096
Philippines,PHL,1113547,18620,110826667,0.016721342
Romania,ROU,1066731,29034,19127428,0.027217733
Belgium,BEL,1017876,24583,11632825,0.024151272
Sweden,SWE,1007792,14173,10153172,0.014063418
Pakistan,PAK,864557,19106,224547359,0.022099179
Portugal,PRT,839740,16993,10171190,0.020236025
Israel,ISR,838957,6378,9197590,0.007602297
Hungary,HUN,792879,28792,9639299,0.036313233
Bangladesh,BGD,775027,11972,166092224,0.015447204
Jordan,JOR,720998,9125,10289738,0.012656068
Serbia,SRB,701326,6576,8707154,0.009376524
Switzerland,CHE,674296,10715,8708783,0.015890647
Japan,JPN,640044,10876,126144121,0.016992582
Austria,AUT,632766,10413,9050395,0.01645632
UAE,ARE,537524,1615,9992499,0.003004517
Lebanon,LBN,533141,7507,6799199,0.014080703
Morocco,MAR,513922,9077,37284378,0.017662213
Malaysia,MYS,444484,1700,32720210,0.00382466
Saudi Arabia,SAU,427370,7085,35276532,0.016578141
Bulgaria,BGR,411280,17045,6903494,0.041443785
Nepal,NPL,403794,3859,29583618,0.009556853
Ecuador,ECU,402060,19242,17871702,0.047858529
Slovakia,SVK,386136,12077,5461910,0.031276545
Belarus,BLR,369767,2642,9446657,0.00714504
Panama,PAN,367908,6277,4372724,0.017061331
Greece,GRC,363904,11089,10379331,0.030472322
Kazakhstan,KAZ,346497,3948,18968606,0.011394038
Croatia,HRV,345623,7549,4083518,0.021841718
