country_code,year,rd
AUS,2013,33471500.0
AUS,2015,31179000.0
AUS,2017,33062000.0
AUT,2013,9571282.0
AUT,2014,10275180.0
AUT,2015,10499146.0
AUT,2016,11135560.0
AUT,2017,11289781.0
AUT,2018,12246010.0
AUT,2019,12799700.0
BEL,2013,9156953.0
BEL,2014,9551244.0
BEL,2015,10118200.0
BEL,2016,10852674.0
BEL,2017,11867981.0
BEL,2018,12709638.0
CAN,2013,32441000.0
CAN,2014,34196000.0
CAN,2015,33703000.0
CAN,2016,35016000.0
CAN,2017,35732000.0
CAN,2018,34756000.0
CAN,2019,35541000.0
CZE,2013,77853386.0
CZE,2014,85104467.0
CZE,2015,88663390.0
CZE,2016,80109157.0
CZE,2017,90386025.0
CZE,2018,102753730.0
DNK,2013,57320700.0
DNK,2014,57733000.0
DNK,2015,62210000.0
DNK,2016,65191000.0
DNK,2017,66344000.0
DNK,2018,68118000.0
FIN,2013,6684100.0
FIN,2014,6512100.0
FIN,2015,6070900.0
FIN,2016,5926100.0
FIN,2017,6173200.0
FIN,2018,6437900.0
FRA,2013,47362050.0
FRA,2014,48926860.0
FRA,2015,49839130.0
FRA,2016,49650923.0
FRA,2017,50619332.0
FRA,2018,51768559.0
DEU,2013,79729508.0
DEU,2014,84246766.0
DEU,2015,88781819.0
DEU,2016,92173556.0
DEU,2017,99553616.0
DEU,2018,104768000.0
GRC,2013,1465670.0
GRC,2014,1488740.0
GRC,2015,1703820.0
GRC,2016,1754180.0
GRC,2017,2038430.0
GRC,2018,2174670.0
HUN,2013,420100300.0
HUN,2014,441092100.0
HUN,2015,468389700.0
HUN,2016,427191800.0
HUN,2017,517258000.0
HUN,2018,654163100.0
ISL,2013,33342300.0
ISL,2014,40395266.0
ISL,2015,50408600.0
ISL,2016,52999400.0
ISL,2017,55061500.0
ISL,2018,56900200.0
IRL,2013,2813140.0
IRL,2014,2967212.0
IRL,2015,3108450.0
IRL,2016,3175760.0
IRL,2018,3715000.0
ITA,2013,20983100.0
ITA,2014,21781275.0
ITA,2015,22157000.0
ITA,2016,23171612.0
ITA,2017,23793650.0
ITA,2018,24581681.0
JPN,2013,16680069000.0
JPN,2014,17472907000.0
JPN,2015,17436052000.0
JPN,2016,16911538000.0
JPN,2017,17512261000.0
JPN,2018,17919014000.0
KOR,2013,59300949330.0
KOR,2014,63734126793.0
KOR,2015,65959371727.0
KOR,2016,69405529886.0
KOR,2017,78789187375.0
KOR,2018,85728714738.0
LUX,2013,605731.0
LUX,2014,629800.0
LUX,2015,662300.0
LUX,2016,690400.0
LUX,2017,720700.0
LUX,2018,727400.0
MEX,2013,69182632.0
MEX,2014,76096799.0
MEX,2015,79744619.0
MEX,2016,78055097.0
MEX,2017,71965466.0
MEX,2018,73508186.0
NLD,2013,12746047.0
NLD,2014,13267860.0
NLD,2015,13695788.0
NLD,2016,14144403.0
NLD,2017,14638000.0
NLD,2018,16748200.0
NZL,2013,2685000.0
NZL,2015,3136000.0
NZL,2017,3894000.0
NOR,2013,50748200.0
NOR,2014,53866900.0
NOR,2015,60209200.0
NOR,2016,63344800.0
NOR,2017,69176200.0
NOR,2018,73182000.0
POL,2013,14423800.0
POL,2014,16168200.0
POL,2015,18060700.0
POL,2016,17943000.0
POL,2017,20578500.0
POL,2018,25647792.0
PRT,2013,2258471.0
PRT,2014,2232249.0
PRT,2015,2234370.0
PRT,2016,2388467.0
PRT,2017,2585100.0
PRT,2018,2753066.0
SVK,2013,610876.0
SVK,2014,669632.0
SVK,2015,927272.0
SVK,2016,640835.0
SVK,2017,748955.0
SVK,2018,750947.0
ESP,2013,13011798.0
ESP,2014,12820756.0
ESP,2015,13172000.0
ESP,2016,13260000.0
ESP,2017,14063444.0
ESP,2018,14946000.0
SWE,2013,124635000.0
SWE,2014,123848000.0
SWE,2015,137146000.0
SWE,2016,143372000.0
SWE,2017,155532000.0
SWE,2018,159951000.0
CHE,2015,22058974.0
CHE,2017,22550001.0
TUR,2013,14807322.0
TUR,2014,17598117.0
TUR,2015,20615248.0
TUR,2016,24641252.0
TUR,2017,29855478.0
GBR,2013,28875100.0
GBR,2014,30599600.0
GBR,2015,31626000.0
GBR,2016,33129600.0
GBR,2017,34808600.0
GBR,2018,36512000.0
USA,2013,454823000.0
USA,2014,476459000.0
USA,2015,495094000.0
USA,2016,516590000.0
USA,2017,548984000.0
USA,2018,581553000.0
DZA,2017,100860040.7
ARG,2013,20708900.0
ARG,2014,27198050.0
ARG,2015,37074020.0
ARG,2016,45925610.0
ARG,2017,59304450.0
ARG,2018,72093710.0
ARM,2013,10120900.0
ARM,2014,11661700.0
ARM,2015,12609900.0
ARM,2016,11809100.0
ARM,2017,12680500.0
ARM,2018,11357600.0
AZE,2013,122000.0
AZE,2014,123800.0
AZE,2015,120900.0
AZE,2016,124700.0
AZE,2017,129900.0
AZE,2018,147500.0
BLR,2013,437230.5
BLR,2014,407311.9
BLR,2015,449543.1
BLR,2016,475344.0
BLR,2017,617684.0
BLR,2018,739340.0
BIH,2013,86046.335
BIH,2014,70381.152
BIH,2015,62494.336
BIH,2016,64576.461
BIH,2017,62904.269
BIH,2018,65164.302
BRA,2013,63748603.0
BRA,2014,73468203.1
BRA,2015,80501765.2
BRA,2016,79208513.70207
BRA,2017,72016004.46858
BRA,2018,79940871.89218
BRN,2018,50809.97694
BGR,2013,521682.0
BGR,2014,664829.0
BGR,2015,850457.0
BGR,2016,734274.0
BGR,2017,760234.0
BGR,2018,828904.0
BFA,2014,13575300.0
BFA,2017,50263000.0
KHM,2015,86811092.0
CHL,2013,535924384.0
CHL,2014,557298984.0
CHL,2015,607462845.0
CHL,2016,626174380.0
CHL,2017,640077870.0
CHN,2013,1184659795.0
CHN,2014,1301562968.0
CHN,2015,1416988461.0
CHN,2016,1567674841.0
CHN,2017,1760612949.0
CHN,2018,1967792937.0
COL,2013,1935942000.0
COL,2014,2331665000.0
COL,2015,2331606000.0
COL,2016,2305813000.0
COL,2017,2235488160.0
COL,2018,2313144410.0
CRI,2013,138144720.0
CRI,2014,155763000.0
CRI,2015,131746300.0
CRI,2016,142122670.0
CRI,2017,146258950.0
CRI,2018,133771530.0
HRV,2013,2688004.0
HRV,2014,2594604.0
HRV,2015,2853680.0
HRV,2016,3031074.0
HRV,2017,3161000.0
HRV,2018,3722129.0
CUB,2013,366200.0
CUB,2014,335500.0
CUB,2015,373400.0
CUB,2016,312700.0
CUB,2017,417100.0
CUB,2018,537180.0
CYP,2013,87469.0
CYP,2014,89521.0
CYP,2015,85286.0
CYP,2016,98815.0
CYP,2017,110214.0
CYP,2018,115800.0
COD,2015,142683288.8
ECU,2013,361398.236
ECU,2014,450306.465
EGY,2013,11887000.0
EGY,2014,13557258.26582
EGY,2015,17561440.0
EGY,2016,19195479.793
EGY,2017,23575615.0
